serie,ann_ret_lo,ann_ret_hi,sharpe_lo,sharpe_hi,mdd_lo,mdd_hi
retEW094_15a_cap1_c10,-0.05313879007633,0.09874492665696502,-0.29749827693224595,0.7142505160800903,-0.6788695369181158,-0.23228644518029268
retEW094_15a_cap1_c25,-0.05179707075460975,0.09536397151696858,-0.2782254005760762,0.7031173825304344,-0.7062882367225536,-0.23130984408593475
retEW097_15a_cap1_c00,-0.05239764427758428,0.1049835844696191,-0.24843111483671237,0.714979239307527,-0.7024295163871852,-0.2408231928777635
retEW097_15a_cap1_c10,-0.05180139022020047,0.11359001621941345,-0.25366134171136323,0.7757897297607342,-0.7156012485133123,-0.2516618550883824
retEW097_15a_cap1_c25,-0.0707715571618196,0.10365029241675958,-0.38925038335272766,0.712726726081166,-0.7371894884596668,-0.2505493026410983
ret_15a_cap1_c00,-0.05107651217061864,0.08633356681688711,-0.26986092345437196,0.6364888420749258,-0.6660143457450658,-0.23705489117915052
ret_15a_cap1_c10,-0.05221977927598456,0.09669575388237825,-0.26940004333782697,0.7111887123974516,-0.6877791574106863,-0.23594231323792103
ret_15a_cap1_c25,-0.0565728549318321,0.0964279153016401,-0.31810533526368956,0.7022631634202267,-0.7043588088033987,-0.22911757091653767
ret_egarch_norm_15a_cap1_c00,-0.058649681621544936,0.10900439171663173,-0.3077129787070434,0.763807361884418,-0.7018970868681988,-0.2386274902137932
ret_egarch_norm_15a_cap1_c10,-0.050722239090930855,0.09875466191783065,-0.2577325633470945,0.7031678660795307,-0.6753337624215179,-0.2372753167575487
ret_egarch_norm_15a_cap1_c25,-0.05909500299819517,0.09927037739759889,-0.31751737713635547,0.7025234958093827,-0.6987319191904748,-0.2542050662321387
ret_egarch_std_15a_cap1_c00,-0.05152470560715744,0.09836588900223123,-0.2711496924350475,0.6976893309252445,-0.6948122968618904,-0.23900440732134776
ret_egarch_std_15a_cap1_c10,-0.053469667773752845,0.10345229885967125,-0.2767423196027826,0.7208063411505621,-0.7004522165196223,-0.24792675025527722
ret_egarch_std_15a_cap1_c25,-0.06337941599033217,0.10229369586594766,-0.34399978619177823,0.7135585776067913,-0.7258151437155318,-0.25699044180885217
ret_gjr_norm_15a_cap1_c00,-0.05329066254529377,0.1029702040940573,-0.24819936158154415,0.7166694079245124,-0.6826602541894289,-0.2414564630204064
ret_gjr_norm_15a_cap1_c10,-0.060519991320242925,0.09565655772608944,-0.3107555655295908,0.6599301721197757,-0.7178061409752804,-0.2527995836608465
ret_gjr_norm_15a_cap1_c25,-0.057238162410879076,0.09411315637422348,-0.2899914200653988,0.6451540465179405,-0.6971770149077274,-0.26011014873938565
retEW094_10a_cap15_c00,-0.024875602026728446,0.06822636651696898,-0.19519143189343907,0.7219427462893492,-0.5013586434155741,-0.15055546666762193
retEW094_10a_cap15_c10,-0.03672681556117542,0.0715286288103381,-0.3214870646155835,0.7469377287190742,-0.5407264859707475,-0.15307520885586595
retEW094_10a_cap15_c25,-0.04171572063338187,0.06459472975695801,-0.3666496182761821,0.6833285472557675,-0.5544788121402625,-0.15981118090666546
retEW097_10a_cap15_c00,-0.03499362089698115,0.0764299470821061,-0.2770575697023581,0.7647016253251299,-0.5433490052683649,-0.17026312892169598
retEW097_10a_cap15_c10,-0.03395286672350565,0.07812935764309725,-0.26106960077076846,0.757580288860829,-0.55110801527900255,-0.17360799860407714
retEW097_10a_cap15_c25,-0.04829245949690267,0.06928360534358939,-0.40830245029835766,0.6833648069522847,-0.5842464885462767,-0.1662215381078101
ret_10a_cap15_c00,-0.03312310511921315,0.07610038839447153,-0.2900922750953252,0.7971486149363056,-0.5240906948398865,-0.14700564102220412
ret_10a_cap15_c10,-0.030723643250353407,0.06775471593692578,-0.251216362092131,0.7116931211061239,-0.5267693936435007,-0.15351987659648553
ret_10a_cap15_c25,-0.03974313241912787,0.065272946048125835,-0.35174512175841943,0.6899724899571866,-0.545386030020863,-0.15753148755164278
ret_egarch_norm_10a_cap15_c00,-0.031616491911927974,0.06764536536470554,-0.2554175459943775,0.6929357151589859,-0.5184664150380022,-0.1643487932073564
ret_egarch_norm_10a_cap15_c10,-0.03160330169708257,0.06366849139202876,-0.2574815111197999,0.6594575324014088,-0.5035242347841388,-0.1686235264498286
ret_egarch_norm_10a_cap15_c25,-0.03977488523648272,0.06258295479546372,-0.3339075611440727,0.6364112753435893,-0.5436626937685435,-0.16767711937023344
ret_egarch_std_10a_cap15_c00,-0.03228538961708878,0.07321456224262088,-0.26111776072061277,0.7391636455802121,-0.5194139855571311,-0.16587573958266583
ret_egarch_std_10a_cap15_c10,-0.037800481330241845,0.06674753601608732,-0.31031122119388943,0.6714055280721993,-0.5535212065127266,-0.16994601515285362
ret_egarch_std_10a_cap15_c25,-0.042617239474158186,0.06690397061591799,-0.357626438697336,0.6801487936937058,-0.5724304915791445,-0.16344467886898623
ret_gjr_norm_10a_cap15_c00,-0.0353528937932925,0.06592350086195219,-0.27634767603732496,0.6515317109896266,-0.5705715707320662,-0.17403003733536027
ret_gjr_norm_10a_cap15_c10,-0.04496999510258669,0.07797809970767608,-0.3711195344613043,0.7623319459786697,-0.588138110802318,-0.1727350687720482
ret_gjr_norm_10a_cap15_c25,-0.04233175486218868,0.07366476973363001,-0.3454034734780945,0.7266327216752484,-0.5830826982276073,-0.169899233530301
retEW094_12a_cap15_c00,-0.03502289439299852,0.08424648692533329,-0.23817439754336275,0.7395939197609724,-0.5798332356701197,-0.18064981249815457
retEW094_12a_cap15_c10,-0.04648121373197428,0.0816549361200917,-0.33818648698475795,0.7147662758753868,-0.5995808759826702,-0.17630639331759074
retEW094_12a_cap15_c25,-0.03800044387465148,0.07244418197372987,-0.2649327119978861,0.6443037730761647,-0.5751696690157908,-0.198391505050605
retEW097_12a_cap15_c00,-0.04168532967425448,0.08610456333364933,-0.25777458549435145,0.7060647482086049,-0.6050629442573918,-0.20287096645919173
retEW097_12a_cap15_c10,-0.046079262475381105,0.08844536533944924,-0.2969390382045927,0.7331449587629143,-0.6422897080821373,-0.20271032307702713
retEW097_12a_cap15_c25,-0.05473964368722285,0.08753345161093373,-0.3571797905136316,0.7208103728454074,-0.6529181459899531,-0.21965548186325023
ret_12a_cap15_c00,-0.036677347482975145,0.0895114044671346,-0.24875295879018963,0.7780338579203071,-0.5595205196673233,-0.18013973665394217
ret_12a_cap15_c10,-0.039446172419050685,0.07638877247994447,-0.2736737431589922,0.6799828838345368,-0.5986381882706898,-0.19173598071403408
ret_12a_cap15_c25,-0.04170963873500958,0.07670080154098313,-0.295087586629401,0.6909352369204786,-0.5873098058437425,-0.1994896975713772
ret_egarch_norm_12a_cap15_c00,-0.04857308967974479,0.08044251776597208,-0.3304058968637559,0.6985804186664267,-0.6208300693529938,-0.1787442052041024
ret_egarch_norm_12a_cap15_c10,-0.040412692835801595,0.08372251904716223,-0.26698376563735016,0.7272604068670508,-0.6088604524849458,-0.19872269383752317
ret_egarch_norm_12a_cap15_c25,-0.041942869136634926,0.07919596421243567,-0.279625652042302,0.6853728060152051,-0.603194028887551,-0.19743064949756298
ret_egarch_std_12a_cap15_c00,-0.03721453204761522,0.08650489196223678,-0.24200396001925428,0.732515838088748,-0.583155862604706,-0.1876391926647183
ret_egarch_std_12a_cap15_c10,-0.044032332843182,0.08614916703400849,-0.29530271133122865,0.7316392533685607,-0.6281933641727955,-0.19638144161554763
ret_egarch_std_12a_cap15_c25,-0.05656867885253193,0.07466919974585323,-0.39939300226672053,0.6385038533868017,-0.6480291413461108,-0.21086726601735128
ret_gjr_norm_12a_cap15_c00,-0.042773125635070144,0.09332292524287009,-0.26813033378837403,0.7685224381887843,-0.6421854469432191,-0.21193988460438407
ret_gjr_norm_12a_cap15_c10,-0.04873398532247098,0.08161374318326739,-0.311430509461208,0.6849267298431361,-0.6399529739719181,-0.21838183566634772
ret_gjr_norm_12a_cap15_c25,-0.05225496718365452,0.08030518229607761,-0.3517025873037316,0.6693139567966568,-0.6384261315028261,-0.21914044167138902
retEW094_15a_cap15_c00,-0.04698367806835253,0.08825152844639109,-0.24255356696725855,0.6459271728310885,-0.6802506786548007,-0.23650989242880546
retEW094_15a_cap15_c10,-0.05157984926036813,0.09605022267971655,-0.2774890503324029,0.6956103681270359,-0.6740677970016711,-0.22166111785913867
retEW094_15a_cap15_c25,-0.0601940152339219,0.08850643493907523,-0.335371795960065,0.6496834621270162,-0.7016729071845274,-0.21319513929024483
retEW097_15a_cap15_c00,-0.05351891155926854,0.10892144064981571,-0.2572015662989928,0.7450767602914817,-0.6998552749378253,-0.24306748419253912
retEW097_15a_cap15_c10,-0.0667150156194172,0.10412844932953444,-0.33972750552606035,0.7070394415718557,-0.7389885891103415,-0.2431677881528006
retEW097_15a_cap15_c25,-0.07155184136597692,0.10267605116049089,-0.38505180825340674,0.6919115439676136,-0.7462665630432297,-0.25878715324960766
ret_15a_cap15_c00,-0.059067468003951254,0.09584731003760827,-0.3277545236284479,0.7039453695056201,-0.6999277950221849,-0.24196653128795592
ret_15a_cap15_c10,-0.047938362456667966,0.09877987944249411,-0.24669034111321864,0.7077698179798181,-0.6771186979992416,-0.22840708002461657
ret_15a_cap15_c25,-0.06274204183760501,0.0953659444120627,-0.35677462924870806,0.6992699545298228,-0.7143808967205436,-0.23668514836570848
ret_egarch_norm_15a_cap15_c00,-0.05197461586927685,0.09026636650151987,-0.26596064730633595,0.6390013114774575,-0.6999928296756166,-0.2430651944893818
ret_egarch_norm_15a_cap15_c10,-0.05120736419998895,0.09456902625457636,-0.2594573351460798,0.6668243913340766,-0.6910574600293444,-0.2485190983133368
ret_egarch_norm_15a_cap15_c25,-0.0647852788921096,0.09520651551872554,-0.34861522751827406,0.676391718176967,-0.7267531202204804,-0.24422795737224556
ret_egarch_std_15a_cap15_c00,-0.04971391030312937,0.09753973085397147,-0.2492005488217348,0.6761214258541248,-0.6833493185798447,-0.251378631174778
ret_egarch_std_15a_cap15_c10,-0.054431484228988934,0.09578511539477591,-0.2728106785688757,0.676269050575093,-0.7004290087387168,-0.2464084443686696
ret_egarch_std_15a_cap15_c25,-0.07112634057281995,0.08296316584912813,-0.38567781933907513,0.5929449501312517,-0.7477943989580818,-0.2553776992147347
ret_gjr_norm_15a_cap15_c00,-0.061224405803867996,0.10622441361131721,-0.30474698328030364,0.7124632748780406,-0.6993496776151091,-0.2507703868618031
ret_gjr_norm_15a_cap15_c10,-0.05833776843899696,0.09827323697578633,-0.28258763660293107,0.6616828748522678,-0.732104605662546,-0.24715064757662636
ret_gjr_norm_15a_cap15_c25,-0.07255532294268469,0.08950173730326322,-0.3813995296119862,0.6202071677372383,-0.7382738459756485,-0.2642549810356086
