grupo,serie,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,n
COVID(2020-02-20..2020-09-30),ret_egarch_norm_12a_cap1_c10,-0.19231081823586715,0.147369505599219,-1.5592888822720905,-1.3344972309443497,-0.16396556975829824,-1.1728731740410665,153
COVID(2020-02-20..2020-09-30),ret_egarch_norm_12a_cap15_c10,-0.19231081823586715,0.147369505599219,-1.5592888822720905,-1.3344972309443497,-0.16396556975829824,-1.1728731740410665,153
COVID(2020-02-20..2020-09-30),retEW094_10a_cap1_c10,-0.13612427786468106,0.10642484040566232,-1.5770564312230622,-1.3425514434942536,-0.11821479085007625,-1.1514995449031264,153
COVID(2020-02-20..2020-09-30),ret_10a_cap1_c10,-0.13612427786468106,0.10642484040566232,-1.5770564312230622,-1.3425514434942536,-0.11821479085007625,-1.1514995449031264,153
COVID(2020-02-20..2020-09-30),retEW094_10a_cap15_c10,-0.13612427786468106,0.10642484040566232,-1.5770564312230622,-1.3425514434942536,-0.11821479085007625,-1.1514995449031264,153
COVID(2020-02-20..2020-09-30),ret_10a_cap15_c10,-0.13612427786468106,0.10642484040566232,-1.5770564312230622,-1.3425514434942536,-0.11821479085007625,-1.1514995449031264,153
COVID(2020-02-20..2020-09-30),ret_egarch_norm_10a_cap1_c10,-0.16174569511304304,0.12280792133268251,-1.596216483658977,-1.3468770039600468,-0.13802258045923543,-1.1718785040453157,153
COVID(2020-02-20..2020-09-30),ret_egarch_norm_10a_cap15_c10,-0.16174569511304304,0.12280792133268251,-1.596216483658977,-1.3468770039600468,-0.13802258045923543,-1.1718785040453157,153
SELIC_Alta(>10%),ret_bh,0.05583986324320245,0.22077293975957757,-0.1744607145585577,0.38390923306739844,-0.3949203229194337,0.14139526381019937,2056
SELIC_Alta(>10%),retEW097_15a_cap1_c10,0.02797439087057274,0.15525351894651626,-0.49966978470360796,0.2748948441187371,-0.2808022829823894,0.09962308914820027,2056
SELIC_Alta(>10%),retEW097_15a_cap15_c10,0.023799193169503186,0.15938571047465488,-0.5081824543541935,0.22925327897674738,-0.2808022829823893,0.08475427235396006,2056
SELIC_Alta(>10%),ret_egarch_norm_15a_cap1_c10,0.029482229114773606,0.15004662702911736,-0.5125504160833911,0.2992908553621482,-0.27465844930017336,0.10734142419391791,2056
SELIC_Alta(>10%),ret_gjr_norm_15a_cap1_c10,0.02502556387668764,0.15520551349002593,-0.5183868358304058,0.24576550265887187,-0.287001349477344,0.08719667667856443,2056
SELIC_Alta(>10%),ret_egarch_norm_15a_cap15_c10,0.026331160854836666,0.15303146927421968,-0.5196346314862431,0.26292373880809966,-0.27465844930017336,0.09586874506110468,2056
SELIC_Alta(>10%),ret_gjr_norm_15a_cap15_c10,0.021402962087418542,0.15934209963371895,-0.5230756289816972,0.20611337008735586,-0.287001349477344,0.07457443014255966,2056
SELIC_Alta(>10%),retEW094_15a_cap1_c10,0.028184563346914215,0.14644013041836806,-0.5374530974645018,0.2954296392733394,-0.2689630999749735,0.10478970293522323,2056
SELIC_Alta(>10%),ret_15a_cap1_c10,0.028184563346914215,0.14644013041836806,-0.5374530974645018,0.2954296392733394,-0.2689630999749735,0.10478970293522323,2056
SELIC_Alta(>10%),ret_egarch_std_15a_cap1_c10,0.023456638911326433,0.15184302508756928,-0.5433731353255913,0.23705605223167414,-0.2829487654393934,0.08290065826899945,2056
SELIC_Alta(>10%),retEW094_15a_cap15_c10,0.02500423027834997,0.14932124095263422,-0.5449834225670384,0.2578201927564599,-0.2689630999749735,0.09296528141100607,2056
SELIC_Alta(>10%),ret_15a_cap15_c10,0.02500423027834997,0.14932124095263422,-0.5449834225670384,0.2578201927564599,-0.2689630999749735,0.09296528141100607,2056
SELIC_Alta(>10%),ret_egarch_std_15a_cap15_c10,0.01993428967066646,0.15589929181841056,-0.5473572862595659,0.1974828745644515,-0.2829487654393935,0.07045194079468887,2056
SELIC_Alta(>10%),retEW097_12a_cap1_c10,0.0244440586054131,0.12687911510933006,-0.6701380211897763,0.29567806218616177,-0.22958988214863552,0.10646836165710526,2056
SELIC_Alta(>10%),retEW097_12a_cap15_c10,0.02350773781963711,0.12753895604285756,-0.6731863053673813,0.28291330856869823,-0.22958988214863552,0.1023901297375914,2056
SELIC_Alta(>10%),ret_gjr_norm_12a_cap1_c10,0.022309571655531046,0.12687999515247755,-0.6865783461656912,0.26968426384249855,-0.23491081044901696,0.09497039158345982,2056
SELIC_Alta(>10%),ret_gjr_norm_12a_cap15_c10,0.021445354671846273,0.1275039498371176,-0.6892322202189716,0.258008623529788,-0.23491081044901696,0.09129147624519643,2056
SELIC_Alta(>10%),ret_egarch_norm_12a_cap1_c10,0.025235956767668766,0.12212417666306544,-0.6947569539223226,0.3156925076998001,-0.22447277826977652,0.11242323885411003,2056
SELIC_Alta(>10%),ret_egarch_norm_12a_cap15_c10,0.024957849157510203,0.1224326721541091,-0.6949157212936152,0.3115174226810588,-0.22447277826977652,0.11118430194468966,2056
SELIC_Alta(>10%),ret_egarch_std_12a_cap1_c10,0.021068378752344463,0.12412811054603277,-0.7143811266187006,0.26210626521772656,-0.23159263524990337,0.09097171302364743,2056
SELIC_Alta(>10%),ret_egarch_std_12a_cap15_c10,0.020090967360604672,0.12475106919577614,-0.7178731079651057,0.24865381532389272,-0.23159263524990337,0.08675132237657396,2056
SELIC_Alta(>10%),retEW094_12a_cap1_c10,0.02405717973086463,0.1191593413546705,-0.7247095193619284,0.31082762733140956,-0.21976964717956482,0.10946543364656945,2056
SELIC_Alta(>10%),ret_12a_cap1_c10,0.02405717973086463,0.1191593413546705,-0.7247095193619284,0.31082762733140956,-0.21976964717956482,0.10946543364656945,2056
SELIC_Alta(>10%),retEW094_12a_cap15_c10,0.02371478748259581,0.11946499220758801,-0.7253511658427416,0.3056634710011591,-0.21976964717956482,0.10790747397077735,2056
SELIC_Alta(>10%),ret_12a_cap15_c10,0.02371478748259581,0.11946499220758801,-0.7253511658427416,0.3056634710011591,-0.21976964717956482,0.10790747397077735,2056
SELIC_Alta(>10%),retEW097_10a_cap1_c10,0.021339808886403855,0.10627322469633912,-0.8512662099720398,0.30834319477122085,-0.194079327850452,0.10995405395698435,2056
SELIC_Alta(>10%),retEW097_10a_cap15_c10,0.0212127936602593,0.10629092073822982,-0.8522774288072065,0.30635845574701503,-0.194079327850452,0.10929960390528988,2056
SELIC_Alta(>10%),ret_gjr_norm_10a_cap1_c10,0.01945857854473454,0.10622965768783875,-0.869023640359867,0.28108674671434286,-0.1987228597882046,0.09791816887837242,2056
SELIC_Alta(>10%),ret_gjr_norm_10a_cap15_c10,0.019354425251869145,0.10625324704563179,-0.8697691309701363,0.2794291440912784,-0.1987228597882046,0.09739405558322158,2056
